QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,skill,b
21,1434,Factorise a quadratic expression in the form ax² + bx + c where a is prime,53,Factorising into a Double Bracket,B,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",\( (3 x+2)(3 x+1) \),\( (3 x+2)(x+1) \),Cannot be factorised,\( (3 x+1)(x+2) \),2240.0,,,,Quadratics,-1.0
22,69,"Given the solution to one problem, deduce the answer to a related problem using the same operation",203,Mental Addition and Subtraction,A,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,,1408.0,2408.0,,,0.0
25,1872,Calculate speed where distance and time are in the appropriate units,67,Substitution into Formula,A,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",\( 0.4 \) metres per hour,\( 40 \) metres per hour,\( 2.5 \) metres per hour,\( 4 \) metres per hour,,509.0,2359.0,,,0.0
27,1527,Substitute negative integer values into expressions involving no powers or roots,67,Substitution into Formula,C,If \( d=-2 \) what is the value of \( 10-2 d \) ?,\( -12 \),\( 6 \),\( 14 \),\( 32 \),,1597.0,,,,0.0
28,10,Count backwards in steps of of something other than one,200,Counting,C,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","\( 19,102 \)","\( 19,099 \)","\( 19,098 \)","\( 19,097 \)",878.0,1824.0,,,,0.0
29,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,B,"Solve
\[
2 n+3 \leq 3 n-7
\]",\( 2 \leq n \),\( 10 \leq n \),\( n \leq 10 \),\( -4 \leq n \),1214.0,,811.0,1214.0,,0.0
31,2028,Convert between cm and m,195,Length Units,A,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,\( 4.5 \),\( 45 \),\( 5 \),\( 45000 \),,704.0,1272.0,1651.0,,0.0
32,1484,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64,Linear Equations,D,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",\( \frac{2 r}{5}=5+r \),\( 10 r-15=10+5 r \),\( 2 r-3=10+r \),\( 2 r-3=10+5 r \),1566.0,98.0,347.0,,Algebra,-1.0
34,52,Find another power of 10 less than a given number,202,Place Value,C,"What number is \( 10,000 \) less than \( 901,426 \) ?","\( 801,426 \)","\( 911,426 \)","\( 891,426 \)",\( 90.1426 \),2264.0,1773.0,,228.0,,0.0
35,380,Convert decimals less than 1 with 1 decimal place to percentages,239,Converting between Decimals and Percentages,A,"Convert this decimal to a percentage
\[
0.6
\]",\( 60 \% \),\( 6 \% \),\( 0.6 \% \),\( 0.006 \% \),,61.0,1965.0,1973.0,,0.0
36,1273,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,251,Simplifying Expressions by Collecting Like Terms,C,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 \times d \),\( d 4 \),\( 4 d \),\( d^{4} \),1680.0,267.0,,1644.0,Algebra,-1.0
37,410,Simplify fractions that simplify to a unit fraction,227,Simplifying Fractions,C,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",\( \frac{3}{6} \),\( \frac{2}{6} \),\( \frac{3}{4} \),\( \frac{9}{12} \),848.0,,,2021.0,Fractions,-1.0
38,1616,Add algebraic fractions where one denominator is a multiple of the other,1078,Adding and Subtracting Algebraic Fractions,A,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",\( \frac{11}{2 x} \),\( \frac{7}{3 x} \),\( \frac{11}{x} \),\( \frac{7}{2 x} \),,217.0,,2234.0,,0.0
39,3115,Carry out a subtraction problem with positive integers where the answer is less than 0,202,Place Value,B,\( 598-1000= \),\( 402 \),\( -402 \),\( -412 \),This problem cannot be solved,1958.0,,699.0,959.0,,0.0
41,3225,Write a missing term of an ascending integer linear sequence,171,Linear Sequences (nth term),A,"The \( 1^{\text {st }} \) term in a linear sequence is \( 7 \).

The \( 4^{\text {th }} \) term of the sequence is \( 25 \).

What is the \( 8^{\text {th }} \) term of the sequence?",\( 49 \),\( 50 \),\( 42 \),\( 56 \),,2386.0,,2252.0,Sequences,-1.0
42,953,"Given a gradient, state the gradient of a line parallel to it",262,Parallel Lines,C,"A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...",\( -5 \),\( -\frac{1}{5} \),\( 5 \),Not enough information,182.0,1461.0,,630.0,,0.0
43,446,Divide proper fractions in the form: Fraction ÷ Integer,232,Dividing Fractions,B,Calculate: \( \frac{4}{8} \div 2 \),\( \frac{2}{4} \),\( \frac{2}{8} \),\( \frac{2}{16} \),\( \frac{4}{4} \),381.0,,,1156.0,Fractions,-1.0
48,3516,Determine the input of a double function machine used to create an algebraic expression,649,Function Machines,B,input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,\( 3 a-18 \),\( 3 a-4 \),\( 3 a-21 \),\( 3 a-7 \),617.0,,657.0,657.0,,0.0
49,2238,Convert from years to days,209,Time,D,\( 2 \) leap years \( =\square \) days,\( 728 \),\( 730 \),\( 366 \),\( 732 \),1322.0,1322.0,,,,0.0
50,316,Divide decimals by 1000,202,Place Value,A,"What is the value of:
\[
23.04 \div 1000
\]",\( 0.02304 \),\( 0.2304 \),\( 0.0002304 \),\( 0.002304 \),,944.0,544.0,964.0,,0.0
51,3279,Multiply 3 digit integers by 1 digit integers using the grid method,204,Mental Multiplication and Division,D,\( 427 \times 6= \),\( 240+120+42 \),\( 2400+120+47 \),\( 400+20+7 \),\( 2400+120+42 \),779.0,,,,,0.0
52,3132,Write algebraic expressions with correct algebraic convention,70,Writing Expressions,A,"Which answer shows the following calculation using the correct algebraic convention?
\(
b \div a
\)",\( \frac{b}{a} \),\( a \div b \),\( \frac{a}{b} \),\( a b \),,2359.0,1542.0,1734.0,Algebra,-1.0
56,704,Represent written scenarios as ratios,334,Writing Ratios,A,"For every \( 5 \) marbles Karen has, Marty has three times as many.

Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 1: 3 \),\( 5: 3 \),\( 5: 8 \),None of these,,,,499.0,,0.0
58,1030,Represent a linear inequality with a single tail on a numberline,165,Inequalities on Number Lines,C,Which of the following diagrams represents \( x>-1 \) ?,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()","![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()","![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()","![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()",1880.0,,,550.0,,0.0
59,578,Calculate percentage of an amount mentally where the percent is greater than 100,233,Percentages of an Amount,B,\( 130 \% \) of \( 40= \),\( 12 \),\( 52 \),\( 170 \),Impossible as you cannot have a percentage greater than \( 100 \),1313.0,,2206.0,1601.0,,0.0
60,410,Simplify fractions that simplify to a unit fraction,229,Converting Mixed Number and Improper Fractions,C,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),\( 1 \frac{16}{21} \),\( 1 \frac{1}{3} \),\( 3 \frac{1}{3} \),Cannot be simplified,,1104.0,,2178.0,,0.0
64,1467,"Solve one-step linear equations requiring multiplication or division, involving positive decimals",64,Linear Equations,B,"Solve the equation:
\[
0.45=0.3 p
\]",\( p=\frac{2}{3} \),\( p=1.5 \),\( p=0.135 \),\( p=0.15 \),2359.0,,975.0,,Algebra,-1.0
66,306,Subtract decimals where the numbers involved have a different number of decimal places,223,Adding and Subtracting with Decimals,C,\( 4.72-3.1 \) What should replace the star?,\( 4.41 \),\( 1.71 \),\( 1.62 \),\( 7.82 \),980.0,980.0,,1514.0,,0.0
67,479,Calculate the square root of a number,246,"Square Roots, Cube Roots, etc",A,What is the square root of nine?,\( 3 \),\( 4.5 \),\( 81 \),\( 18 \),,2248.0,1012.0,2316.0,,0.0
68,1490,Solve quadratic equations using completing the square in the form (x + q)² + r ,65,Quadratic Equations,B,"One of these equations has no real solutions
Which is it?",\( (w-4)^{2}-16=0 \),\( (w-4)^{2}+16=0 \),\( (w-4)^{2}=0 \),\( (w-4)^{2}-4=0 \),,,882.0,,Quadratics,-1.0
72,922,Know the equation of the axes,258,Horizontal and Vertical Lines,D,What is the equation of the \( y \) axis?,\( y=1 \),\( y=0 \),\( y=x \),\( x=0 \),2083.0,2113.0,422.0,,,0.0
73,208,Round integers to the nearest 1000,213,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( 326 \) rounded to the nearest \( 1000 \) ?,\( 1000 \),\( 3000 \),\( 500 \),\( 0 \),1988.0,,1248.0,,,0.0
74,1494,Solve quadratic equations using balancing,65,Quadratic Equations,D,"One of these equations has no real solutions.
Which is it?",\( t^{2}-45=0 \),\( t^{2}-45=-45 \),\( t^{3}=-45 \),\( t^{2}=-45 \),,1494.0,868.0,,Quadratics,-1.0
77,960,Identify perpendicular lines written in the form y = mx + c,263,Perpendicular Lines,B,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",\( y=\frac{1}{3} x+1 \),\( y=5-\frac{1}{3} x \),\( y=3 x+7 \),\( x=3 y-4 \),925.0,,1917.0,,,0.0
81,30,Order integers with a different number of digits,202,Place Value,B,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?","\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)","\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)","\( \begin{array}{l}605,321 \\ 3,506,212 \\ 650,312 \\ 3,652\end{array} \)","\( \begin{array}{l}3,506,212 \\ 650,312 \\ 605,321 \\ 3,652\end{array} \)",1468.0,,1365.0,,,0.0
82,3032,Understand inequality notation,165,Inequalities on Number Lines,C,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",\( x<9 \),\( x \leq 9 \),\( x>9 \),\( x \geq 9 \),1880.0,,,1660.0,,0.0
83,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\( 400099 \)",\( 400000 \),\( 500000 \),\( 400100 \),\( 400099 \),,1988.0,1744.0,,,0.0
85,1102,Generate a descending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),C,"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",\( 1 \),\( -7 \),\( -5 \),\( 9 \),1240.0,2376.0,,,Sequences,-1.0
86,424,Add proper fractions with the same denominator,230,Adding and Subtracting Fractions,D,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",\( \frac{11}{22} \),\( \frac{1}{2} \),\( \frac{11}{11} \),\( 1 \),217.0,217.0,29.0,,Fractions,-1.0
89,1102,Generate a descending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),D,"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",\( 1 \),\( -5 \),\( 6 \),\( -4 \),1240.0,2376.0,,,Sequences,-1.0
91,3136,Rearrange a quadratic equation so that it is in the correct form to be factorised,65,Quadratic Equations,D,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Divide by \( x \),Square root both sides of the equation,Subtract \( 7 x \) from both sides of the equation,Subtract \( 8 \) from both sides of the equation,265.0,265.0,265.0,,Quadratics,-1.0
92,690,Reduce a ratio involving two numbers to its simplest form,334,Writing Ratios,D,"Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{4}: \frac{1}{2}
\)",\( 4: 2 \),\( 2: 4 \),\( 2: 1 \),\( 1: 2 \),,1918.0,,,,0.0
94,1139,Recognise when a descending sequence is quadratic,172,Quadratic Sequences,A,"Tom and Katie are discussing quadratic sequences.

Tom says this is a quadratic sequence: \( 24,15,8,3,0 \ldots \)

Katie says this is a quadratic sequence: \( 124,63,26,7,3,0, \ldots \)

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,,1388.0,1388.0,290.0,Sequences,-1.0
95,702,"Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts",241,Sharing in a Ratio,B,"Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?",\( 96 \),\( 72 \),\( 12 \),\( 63 \),312.0,,372.0,105.0,Ratio & Proportion,-1.0
96,1482,"Solve linear equations with the variable appearing on both sides, with all positive integers",64,Linear Equations,B,"Tom and Katie are arguing about a first step to solve this equation:
\(4 v+1=9 v-3\)

Tom says you can write: \( 5 v+1=-3 \)

Katie says you can write: \( 4 v+4=9 v \)

Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,1138.0,,1138.0,,Algebra,-1.0
99,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,C,"A regular pentagon has a total perimeter of \( 17 \mathrm{~cm} \).
What is the length of each of its sides?",\( 85 \mathrm{~cm} \),\( 12 \mathrm{~cm} \),\( 3.4 \mathrm{~cm} \),Not enough information,545.0,1815.0,,255.0,,0.0
101,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,B,What is \( 8 \) out of \( 40 \) as a percentage?,\( 8.4 \% \),\( 20 \% \),\( 16 \% \),\( 24 \% \),1786.0,,658.0,,,0.0
104,1494,Solve quadratic equations using balancing,65,Quadratic Equations,B,"A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d-6)^{2}-16=0
\)

Step \( 1 \)
\(
(d-6)^{2}=16
\)",\( d^{2}=22 \),\( d-6= \pm 4 \),\( d-6=4 \),\( d-3=8 \),969.0,,132.0,,Quadratics,-1.0
107,447,Divide proper fractions in the form: Integer ÷ Fraction,232,Dividing Fractions,D,How many times does \( \frac{3}{5} \) go into \( 15 \) ?,\( \frac{45}{75} \),\( 75 \),\( 9 \),\( 25 \),1008.0,839.0,609.0,,Fractions,-1.0
109,987,Know that the factorised form of a quadratic is useful for finding where the curve crosses the x-axis,266,Sketching from Factorised Form,B,"Tom and Katie are discussing quadratic graphs.

Tom says a quadratic expression that cannot be factorised will not intercept the \( x \) axis.

Katie says a graph of a quadratic that does not intercept the \( x \) axis cannot be factorised.
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,384.0,,384.0,,,0.0
111,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",183,Angles in Polygons,D,Which quadrilateral below is a regular polygon?,![Trapezium](),![Rhombus](),![Rectangle](),![Square](),255.0,255.0,255.0,,Geometry,-1.0
112,3193,Express a division as a fraction,204,Mental Multiplication and Division,B,Which calculation is equivalent to the fraction \( \frac{3}{4} \) ?,\( 3-4 \),\( 3 \div 4 \),\( 4-3 \),\( 4 \div 3 \),2093.0,,2093.0,1542.0,,0.0
113,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,B,"Expand and simplify:
\[
4(2 x+1)-(5 x-9)
\]",\( 3 x-5 \),\( 3 x+13 \),\( 13 x-5 \),\( 13 x+13 \),1805.0,,1514.0,,Algebra,-1.0
116,3218,Find missing numbers in a fraction multiplication,231,Multiplying Fractions,B,\( \frac{3}{5} \times ?=\frac{1}{2} \),\( \frac{2}{3} \),\( \frac{5}{6} \),\( \frac{3}{10} \),There are no values that make this calculation work,,,2271.0,2173.0,Fractions,-1.0
120,2076,Perform calculations with areas when given in different units,196,Area Units,C,"Square \( \mathrm{P} \) has an area of \( 4 \mathrm{~cm}^{2} \)
Square \( Q \) has an area of \( 4 \mathrm{~mm}^{2} \)
What is the total area of squares \( P \) and \( Q \) in \( \mathrm{mm}^{2} \) ?",\( 8 \mathrm{~mm}^{2} \),\( 44 \mathrm{~mm}^{2} \),\( 404 \mathrm{~mm}^{2} \),\( 40004 \mathrm{~mm}^{2} \),877.0,486.0,,1652.0,,0.0
121,941,Find the gradient of a line written in the form ax + by = c,260,Finding the Gradient and Intercept of a Line from the Equation,D,"What is the gradient of this line?
\(5 x+3 y=15\)",\( 5 \),\( -5 \),\( \frac{5}{3} \),\( -\frac{5}{3} \),1743.0,1324.0,1214.0,,,0.0
124,256,Carry out subtraction problems involving two negative integers ,211,Adding and Subtracting Negative Numbers,D,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),\( 13 \),\( 3 \),\( -3 \),1282.0,1435.0,1435.0,,,0.0
125,1290,Prove statements involving multiples,1081,Algebraic Proof,B,"On what line is the first mistake when proving \( (n+1)^{2}-(n-1)^{2} \) is divisible by \( 4 \) ? \( n^{2}+2 n+1-\left(n^{2}-2 n+1\right) \quad \) Line \( 1 \) \( n^{2}+2 n+1-n^{2}-2 n+1 \quad \) Line \( 2 \) \[
2
\]

Line \( 3 \)",Line \( 1 \),Line \( 2 \),Line \( 3 \),Everything is correct,583.0,,,,,0.0
129,1525,Substitute positive integer values into expressions involving no powers or roots,67,Substitution into Formula,B,"When \( h=10 \)
\(
\frac{h}{2}=
\)",\( 8 \),\( 5 \),\( -8 \),\( -5 \),2093.0,,,1648.0,,0.0
130,1151,Find the nth term rule for ascending quadratic sequences in the form ax² + bx + c,172,Quadratic Sequences,B,"\(
6,14,28,48,74, \ldots
\)

When calculating the nth-term rule of this sequence, what should replace the triangle?

nth-term rule: \( 3 n^{2} \)\( \color{red}\triangle \)  \(n\) \( \color{purple}\square \)
","\[
+1
\]
(or just a + sign)","\( -1 \)
(or just a - sign)",\( +3 \),\( -3 \),1213.0,,2475.0,,Sequences,-1.0
131,1460,"Solve one-step linear equations requiring addition or subtraction, involving positive fractions",64,Linear Equations,C,"Solve the equation:
\(
p-5=\frac{1}{10}
\)",\( p=\frac{6}{15} \),\( p=\frac{6}{10} \),\( p=\frac{51}{10} \),\( p=\frac{5}{50} \),,1852.0,,1360.0,Algebra,-1.0
132,1042,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,166,Solving Linear Inequalities,B,"Tom and Katie are arguing about solving inequalities.
Tom says \( -2 m>12 \) gives \( m>-6 \)
Katie says \( -2+m>12 \) gives \( m>14 \)
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,,,811.0,,,0.0
133,1790,Work out the size of each interior angle in a regular polygon,183,Angles in Polygons,C,"Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 20 \) sided shape

Tom says you can do \( \frac{18 \times 180}{20} \)

Katie says you can do \( 180-\frac{360}{20} \)

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,1406.0,405.0,,,Geometry,-1.0
134,223,Round numbers between 0 and 1 to one significant figure,215,Rounding to Significant Figures,D,"\(
0.095643
\)

What is this number rounded to \( 1 \) significant figure?",\( 0 \),\( 0.09 \),\( 0.01 \),\( 0.1 \),1876.0,1402.0,1605.0,,,0.0
136,265,Carry out multiplication problems involving one negative integer,212,Multiplying and Dividing Negative Numbers,B,"The product of two numbers is \( -24 \).
What could the two numbers be?",\( -3 \) and \( -8 \),\( -4 \) and \( 6 \),\( -10 \) and \( -14 \),\( -3 \) and \( 9 \),1597.0,,191.0,,,0.0
140,1425,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),52,Factorising into a Single Bracket,C,"Factorise this expression, if possible:
\(
p^{2}-99p
\)",\( (p+9)(p-9) \),\( (p+3 \sqrt{11})(p-3 \sqrt{11}) \),\( p(p-99) \),Does not factorise,838.0,838.0,,,,0.0
144,3504,Continue a sequence involving triangle numbers,173,Other Sequences,A,If you add together consecutive triangle numbers you get...,a square number,another triangle number,a cube number,a Fibonacci number,,271.0,,,,0.0
146,3342,Read fractions,225,Fractions of an Amount,C,"How do you say this fraction?
\(
\frac{3}{5}
\)",Three point five,Three fives,Three fifths,Third fifths,1637.0,1523.0,,1523.0,,0.0
147,298,Use inequality notation to order decimals with the same number of digits ,222,Ordering Decimals,D,"Which signs belong in the boxes to make the statement correct?

\( 0.705 \)\[ {\color{blue}\square} \]\( 0.750 \)\[ {\color{orange}\square} \]\( 0.570 \)","![A blue box containing a ""greater than"" symbol  and an orange box containing a ""less than"" symbol]()","![A blue box containing a ""less than"" symbol  and an orange box containing a ""less than"" symbol]()","![A blue box containing a ""greater than"" symbol  and an orange box containing a ""greater than"" symbol]()","![A blue box containing a ""less than"" symbol  and an orange box containing a ""greater than"" symbol]()",1880.0,,,,,0.0
148,369,Convert terminating decimals greater than 1 to fractions,237,Converting between Fractions and Decimals,C,"Convert this to a fraction:
\( 1.4 \)",\( \frac{1}{4} \),\( 1 \frac{4}{5} \),\( \frac{7}{5} \),Not possible as it is greater than \( 1 \),760.0,,,1424.0,,0.0
149,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,C,"What is the range of the following numbers?
\[
0.31,0.30,0.331
\]",\( 0.021 \),\( 0.301 \),\( 0.031 \),\( 0.21 \),397.0,2346.0,,397.0,Statistics,-1.0
150,2077,Identify a unit of volume or capacity,189,Volume of Prisms,D,Which of the following is not a measure of volume?,Cubic metres,Centimetres cubed,Litres,Metres,1169.0,996.0,1520.0,,Mensuration,-1.0
151,3513,Describe a term-to-term sequence,173,Other Sequences,B,"Which of the following term-to-term rule describes this sequence? \( 4, \quad 10, \quad 14, \quad 24, \quad \ldots \)",To get the next term you add \( 6 \) to the previous term,To get the next term you add the previous two terms together,To get the next term you double the previous term and add \( 2 \),To get the next term you multiply the previous term by \( 3 \) and subtract \( 2 \),108.0,,108.0,108.0,,0.0
152,206,Round integers to the nearest 10,208,Written Division,A,What is \( 5050 \) rounded to the nearest \( 10 \) ?,\( 5050 \),\( 5100 \),\( 5000 \),\( 5010 \),,2392.0,2392.0,322.0,,0.0
156,410,Simplify fractions that simplify to a unit fraction,229,Converting Mixed Number and Improper Fractions,B,Write the following fraction in its simplest form: \( 6 \frac{3}{18} \),\( 3 \frac{1}{2} \),\( 6 \frac{1}{6} \),\( 2 \frac{1}{6} \),Cannot be simplified,1104.0,,,606.0,,0.0
157,1273,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,251,Simplifying Expressions by Collecting Like Terms,A,"Simplify the following by collecting like terms.
\[
5 s-6 s+12 s-11 s
\]",\( 0 \),\( 0 s \),\( 1 s \),\( S \),,1277.0,,,Algebra,-1.0
158,2774,Calculate the range from a list of data,102,"Averages (mean, median, mode) from a List of Data",A,"When finding the range of a data set, what is the first step?",Subtract the smallest number from the largest number.,Write the numbers in ascending order.,Add all the numbers together.,Write the numbers in ascending or descending order.,,1306.0,1098.0,1306.0,Statistics,-1.0
162,2760,Calculate the median as an average from an even numbered list of data,102,"Averages (mean, median, mode) from a List of Data",A,"What is the median of the following numbers?
\[
3,5,6,18,18,-4
\]",\( 5.5 \),\( 12 \),\( 6 \),\( 18 \),,1225.0,2426.0,2198.0,Statistics,-1.0
